mijeurope_code;mijeurope_ean;name;stock
MIJC2684;8594197828476;Ice Green Tapas Plate 13 cm;0
MIJC2685;8594197828483;Ice Green Tapas Plate 16,5 cm;25
MIJC2686;8594197828490;Ice Green Side Plate 22 cm;115
MIJC2691;8594197828506;Ice Blue Pasta Bowl 22,5 cm, 350 ml;59
MIJC2693;8594197828513;Ice Blue Tapas Plate 13 cm;0
MIJC2694;8594197828520;Ice Blue Tapas Plate 16,5 cm;0
MIJC2695;8594197828537;Ice Blue Side Plate 22 cm;175
MIJC4050;8594197828544;Sand Fade Rectangular Plate 29,5 x 12 cm;59
MIJC2154;8594197828605;Indigo Blue Spoon 15 cm;0
MIJC0365;8595730100370;Black Contour Rectangular Plate 33 x 10,5 cm;0
MIJC0057;8595730100363;White Soy Pot 120 ml;210
MIJC0366;8595730100387;Green Contour Rectangular Plate 33 x 10,5 cm;0
MIJC0367;8595730100394;Blue Contour Rectangular Plate 33 x 10,5 cm;73
MIJC0395;8595730100400;Amber Contour Rectangular Plate 33 x 10,5 cm;112
MIJC0396;8595730100417;Amber Contour Rectangular Plate 24 x 15 cm;81
MIJC0616;8595730100424;White Rectangular Plate, High Rim, 33 x 10,5 cm;1
MIJC0617;8595730100431;Black Rectangular Plate, High Rim, 33 x 10,5 cm;0
MIJC0621;8595730100448;White Contour Rectangular Plate 10 x 7,5 cm;193
MIJC0622;8595730100455;Black Contour Rectangular Plate 10 x 7,5 cm;263
MIJC0623;8595730100462;Green Contour Rectangular Plate 10 x 7,5 cm;304
MIJC0624;8595730100479;Blue Contour Rectangular Plate 10 x 7,5 cm;256
MIJC0625;8595730100486;Amber Contour Rectangular Plate 10 x 7,5 cm;284
MIJC1010;8595730100493;Wabi Sabi Rectangular Platter 33 x 19 cm;244
MIJC3178;8595730100509;Tenmokku Cup with handle 150 ml;0
MIJC3192;8595730100516;Mist Rectangular Plate 8 x 8,5 cm;57
MIJC3193;8595730100523;Neptune Rectangular Plate 8 x 8,5 cm;19
MIJC3194;8595730100530;Dune Rectangular Plate 8 x 8,5 cm;8
MIJC3196;8595730100547;Ume Sauce Dish 40 ml;175
MIJC3782;8595730100554;DK Green Dinner Plate 25,5 cm;274
MIJC4164;8595730100561;Indigo Triple Pod Sauce Dish 3 x 40 ml;104
MIJC4167;8595730100578;Blue & White Triple Pod Sauce Dish 3 x 40 ml;110
MIJC4205;8595730100585;Indigo Shibori Spoon 12,5 cm;121
MIJC4206;8595730100592;Indigo Stripe Spoon 12,5 cm;172
MIJC4207;8595730100608;Indigo Basketweave Spoon 12,5 cm;139
MIJC4208;8595730100615;Indigo Asanoha Brown Spoon 12,5 cm;152
MIJC4209;8595730100622;Indigo Checkerboard Spoon 12,5 cm;179
MIJC8162;8595730100639;Indigo Blue Tapas Saucer 13,5 cm;0
MIJC0056;8595730100868;Silvered Black Soy Pot 120 ml;230
MIJC1015;8595730100875;Wabi Sabi Serving Bowl 28,5 cm, 1200 ml;224
MIJC1107;8595730100882;Black with Bright Blue Drip Cup 250 ml;0
MIJC1109;8595730100899;Oribe Green Drip Cup 250 ml;0
MIJC1112;8595730100905;Sushi Set Sky Blue 4 pcs with Chopsticks;0
MIJC1648;8595730100912;Black Origami Crane Chopsticks Rest;0
MIJC1651;8595730100929;Indigo Blue Origami Crane Chopsticks Rest;297
MIJC1652;8595730100936;Pink Origami Crane Chopsticks Rest;207
MIJC1654;8595730100943;White Origami Crane Chopsticks Rest;0
MIJC1670;8595730100950;Ice Blue Whale Chopsticks Rest;132
MIJC1677;8595730100967;Asanoha Black Cylinder Chopsticks Rest;180
MIJC1679;8595730100974;Kikko Black Cylinder Chopsticks Rest;142
MIJC1681;8595730100981;Hishi Black Cylinder Chopsticks Rest;160
MIJC3168;8595730100998;Cashew Cup with handle 150 ml;36
MIJC4112;8595730101001;Black Teapot with Strainer 420 ml;30
MIJC1100;8595730101025;Tea Set Blue Wave 3 pcs with Strainer;4
MIJC1104;8595730101032;Dark Green with Patchwork Band Cup 250 ml;28
MIJC1108;8595730101049;Cobalt & Teal Drip Cup 250 ml;1
MIJC2271;8595730101056;Ridged Alabaster Bowl 16 cm, 600 ml;0
MIJC4113;8595730101063;White Teapot with Strainer 420 ml;18
MIJRW0054;8595730101070;Bowl Set Black & White petals 2 x 400 ml with Chopsticks;80
MIJC0337;8595730101100;Reddish Brown Pourer 400 ml;126
MIJC1020;8595730101117;Wabi Sabi Deep Bowl 13 cm, 400 ml;519
MIJC4108;8595730101124;Wabi Sabi Bowl 23 cm, 1600 ml;454
MIJC0699;8595730101155;Sky Blue Irregular Pasta Bowl 23 cm, 400 ml;0
MIJC1071;8595730101162;Sauce Dish Silhouette Fuji;93
MIJC1072;8595730101179;Sauce Dish Silhouette Fish;127
MIJC1073;8595730101186;Sauce Dish Silhouette Owl;229
MIJC1074;8595730101193;Sauce Dish Silhouette Tortoise;175
MIJC1075;8595730101209;Sauce Dish Silhouette Crane;205
MIJC1076;8595730101216;Sauce Dish Silhouette Cat;227
MIJC1077;8595730101223;Sauce Dish Silhouette Daruma;228
MIJC1129;8595730101230;Shiranami Rectangular Plate 22 x 18 cm;169
MIJC1130;8595730101247;Shiranami Rectangular Plate 27 x 17 cm;128
MIJC2336;8595730101254;Sky Blue Rectangular Plate 42 x 21 cm;54
MIJC3000;8595730101261;Ice Sapphire Bowl 14 cm, 200 ml;136
MIJC3002;8595730101278;Ice Sapphire Tapas Plate 16,5 cm;130
MIJC3003;8595730101285;Ice Sapphire Side Plate 22 cm;100
MIJC3004;8595730101292;Ice Sapphire Dinner Plate 24,5 cm;33
MIJC5467;8595730101308;Bronze Converging Bowl 13 cm, 200 ml;0
MIJC0335;8595730101315;Metallic Black Pourer 400 ml;49
MIJRW0053;8595730101322;Sushi Set White & Pink Sakura 4 pcs with Chopsticks;0
MIJC8074;8595730101339;DK Green Tapas Plate 17 cm;246
MIJC7935;8595730101346;Sky Blue Oval Plate 22 x 18 cm;0
MIJC1128;8595730101353;Shiranami Oval Plate 26,5 x 23,5 cm;1
MIJC0001;8595730101360;Black Pearl Saucer 13,5 cm;157
MIJC0003;8595730101377;Earth Saucer 13,5 cm;159
MIJC0425;8595730101384;White Fade Side Plate 21 cm;68
MIJC0471;8595730101391;Shell White Slab Square Plate 25 x 25 cm;3
MIJC0678;8595730101407;Sand Fade Ramen Bowl 24,5 cm, 900 ml;100
MIJC0690;8595730101414;Midori Irregular Bowl 22 cm, 1200 ml;7
MIJC0691;8595730101421;Midori Irregular Pasta Bowl 23 cm, 400 ml;57
MIJC0694;8595730101438;Midori Side Irregular Plate 15,5 cm;0
MIJC0770;8595730101445;Dark Brown Sake Cup 60 ml;111
MIJC0871;8595730101452;Bronze Converging Bowl 19 cm, 300 ml;0
MIJC0938;8595730101469;Wabi Sabi Sauce Dish ? ml;0
MIJC0939;8595730101476;Storm Oval Bowl 16 x ? cm, 420 ml;216
MIJC0940;8595730101483;Storm Oval Platter 32 x 15 cm;108
MIJC0941;8595730101490;Storm Oval Irregular Bowl 18 x 15 cm, ? ml;183
MIJC0942;8595730101506;Storm Oval Irregular Plate 25 x 21 cm;107
MIJC0943;8595730101513;Storm Irregular Platter 31 x ? cm;111
MIJC0947;8595730101520;Storm Rectangular Irregular Platter 30 x ? cm;92
MIJC1005;8595730101537;Snow Leaf Ramekin Irregular Sauce Bowl 9,5 cm, 100 ml;124
MIJC1008;8595730101544;Snow Leaf Bowl 10,5 cm, 200 ml;66
MIJC1052;8595730101551;Matt Black Chawan Mushi Cup 150 ml;74
MIJC1176;8595730101568;Indigo Saucer 12 cm;140
MIJC2266;8595730101575;Ridged Alabaster Cup 150 ml;0
MIJC2268;8595730101582;Ridged Alabaster Bowl 15 cm, 700 ml;67
MIJC2274;8595730101599;Ridged Alabaster Tapas Plate 16 cm;38
MIJC2471;8595730101605;White Blossom Dinner Plate 28,5 cm;157
